user,is_private,is_failure,is_root,is_valid,not_valid_count,ip_failure,ip_success,no_failure,first,td,ts,class

kamran,1,1,0,1,0,1,0,2,1,0,1544678520.0,0
kamran,1,1,0,1,0,2,0,3,0,18,1544678538,1
student,1,0,0,1,0,2,1,0,0,133,1544678671,0
kamran,1,1,0,1,0,3,1,2,0,58,1544678729,1
kamran,1,1,0,1,0,4,1,3,0,29,1544678758,1
root,1,1,1,1,0,5,1,5,0,146,1544678904,
root,1,1,1,1,0,6,1,6,0,32,1544678936,1
root,1,1,1,1,0,7,1,7,0,0,1544678936,1
kamran,1,1,0,1,0,8,1,9,0,21,1544678957,1
kamran,1,1,0,1,0,9,1,10,0,30,1544678987,1
student,1,1,0,1,0,10,1,12,0,463,1544679450,
student,1,0,0,1,0,10,2,0,0,3,1544679453,0
kamran,1,1,0,1,0,11,2,2,0,28,1544679481,1
root,1,1,1,1,0,12,2,4,0,287,1544679768,
student,1,0,0,1,0,12,3,0,0,733,1544680501,0
kamran,1,1,0,1,0,13,3,2,0,90,1544680591,1
kamran,1,1,0,1,0,14,3,3,0,3,1544680594,1
kamran,1,1,0,1,0,15,3,6,0,13,1544680607,1
kamran,1,0,0,1,0,15,4,0,0,4105,1544684712,0
student,1,0,0,1,0,15,5,0,0,25639,1544710351,0
kamran,1,0,0,1,0,15,6,0,0,27,1544710378,0
kamran,1,1,0,1,0,16,6,2,0,54090,1544764468,
kamran,1,0,0,1,0,16,7,0,0,8,1544764476,0
student,1,1,0,1,0,1,0,3,1,0,1544766528.0,0
student,1,1,0,1,0,1,0,5,1,0,1544766530.0,0
student,1,1,0,1,0,1,0,6,1,0,1544766531.0,0
student,1,1,0,1,0,1,0,8,1,0,1544766537.0,0
student,1,1,0,1,0,2,0,11,0,8,1544766539,1
student,1,1,0,1,0,1,0,12,1,0,1544766539.0,0
student,1,1,0,1,0,1,0,13,1,0,1544766540.0,0
student,1,0,0,1,0,1,1,0,0,12,1544766540,0
student,1,1,0,1,0,2,0,1,0,13,1544766543,1
student,1,1,0,1,0,2,0,2,0,10,1544766547,1
student,1,1,0,1,0,2,0,3,0,11,1544766550,1
student,1,0,0,1,0,2,1,0,0,9,1544766552,0
student,1,0,0,1,0,2,1,0,0,13,1544766552,0
student,1,1,0,1,0,2,0,1,0,13,1544766553,1
student,1,0,0,1,0,2,1,0,0,7,1544766557,0
student,1,0,0,1,0,0,1,0,1,0,1544766560.0,0
student,1,0,0,1,0,2,1,0,0,15,1544766562,0
student,1,1,0,1,0,1,0,1,1,0,1544766563.0,0
student,1,0,0,1,0,1,1,0,0,23,1544766586,0
student,1,1,0,1,0,1,0,2,1,0,1544766609.0,0
student,1,1,0,1,0,2,1,4,0,30,1544766616,0
student,1,0,0,1,0,0,2,0,0,59,1544766619,0
student,1,0,0,1,0,2,2,0,0,4,1544766620,0
student,1,1,0,1,0,2,0,1,0,12,1544766621,1
student,1,1,0,1,0,3,0,2,0,7,1544766628,1
student,1,1,0,1,0,1,0,4,1,0,1544766631.0,0
student,1,0,0,1,0,0,3,0,0,17,1544766636,0
student,1,1,0,1,0,3,2,2,0,25,1544766645,0
student,1,1,0,1,0,4,2,3,0,9,1544766654,1
student,1,0,0,1,0,4,3,0,0,7,1544766661,0
student,1,1,0,1,0,2,1,2,0,124,1544766664,0
student,1,0,0,1,0,2,2,0,0,113,1544766665,0
student,1,1,0,1,0,3,1,1,0,7,1544766671,1
student,1,1,0,1,0,4,1,2,0,4,1544766675,1
student,1,0,0,1,0,2,3,0,0,14,1544766679,0
student,1,0,0,1,0,2,2,0,0,131,1544766683,0
student,1,1,0,1,0,5,1,2,0,11,1544766686,1
student,1,1,0,1,0,6,1,3,0,8,1544766694,1
student,1,1,0,1,0,7,1,4,0,5,1544766699,1
kamran,1,0,0,1,0,16,8,0,0,99909,1544864385,0
kamran,1,1,0,1,0,17,8,2,0,767,1544865152,
kamran,1,0,0,1,0,17,9,0,0,9,1544865161,0
root,0,1,1,1,0,1,0,2,1,0,1544865683.0,0
root,0,1,1,1,0,2,0,3,0,10,1544865693,1
root,0,1,1,1,0,3,0,4,0,16,1544865709,1
root,0,1,1,1,0,4,0,6,0,38,1544865747,1
root,0,1,1,1,0,5,0,8,0,54,1544865801,1
root,0,1,1,1,0,6,0,9,0,10,1544865811,1
root,0,1,1,1,0,7,0,10,0,1,1544865812,1
root,0,1,1,1,0,8,0,13,0,24,1544865836,1
root,0,1,1,1,0,9,0,14,0,14,1544865850,1
root,0,1,1,1,0,10,0,15,0,13,1544865863,1
kamran,1,0,0,1,0,17,10,0,0,713,1544865874,0
root,0,1,1,1,0,10,0,15,0,13,1544865863,1
root,0,1,1,1,0,11,0,2,0,41,1544865904,1
root,0,1,1,1,0,12,0,4,0,116,1544866020,
root,0,1,1,1,0,13,0,5,0,14,1544866034,1
root,0,1,1,1,0,14,0,6,0,8,1544866042,1
admins,1,1,0,0,1,1,0,1,1,0,1515738430.0,0
phoenix,1,1,0,0,2,2,0,2,0,3,1515738433,1
piglet,1,1,0,0,3,3,0,3,0,4,1515738437,1
rainbow,1,1,0,0,4,4,0,4,0,5,1515738442,1
runner,1,1,0,0,5,5,0,5,0,3,1515738445,1
sam,1,1,0,0,6,6,0,6,0,9,1515738454,1
abc123,1,1,0,0,7,7,0,7,0,3,1515738457,1
passwd,1,1,0,0,8,8,0,8,0,3,1515738460,1
newpass,1,1,0,0,9,9,0,9,0,3,1515738463,1
newpass,1,1,0,0,10,10,0,10,0,3,1515738466,1
notused,1,1,0,0,11,11,0,11,0,3,1515738469,1
Hockey,1,1,0,0,12,12,0,12,0,3,1515738472,1
internet,1,1,0,0,13,13,0,13,0,4,1515738476,1
asshole,1,1,0,0,14,14,0,14,0,3,1515738479,1
Maddock,1,1,0,0,15,15,0,15,0,3,1515738482,1
Maddock,1,1,0,0,16,16,0,16,0,3,1515738485,1
computer,1,1,0,0,17,17,0,17,0,4,1515738489,1
Mickey,1,1,0,0,18,18,0,18,0,6,1515738495,1
qwerty,1,1,0,0,19,19,0,19,0,4,1515738499,1
fiction,1,1,0,0,20,20,0,20,0,3,1515738502,1
orange,1,1,0,0,21,21,0,21,0,4,1515738506,1
tigger,1,1,0,0,22,22,0,22,0,4,1515738510,1
wheeling,1,1,0,0,23,23,0,23,0,3,1515738513,1
mustang,1,1,0,0,24,24,0,24,0,3,1515738516,1
admin,1,1,0,0,25,25,0,25,0,3,1515738519,1
jennifer,1,1,0,0,26,26,0,26,0,3,1515738522,1
admin,1,1,0,0,27,27,0,27,0,4,1515738526,1
money,1,1,0,0,28,28,0,28,0,2,1515738528,1
Justin,1,1,0,0,29,29,0,29,0,4,1515738532,1
admin,1,1,0,0,30,30,0,30,0,3,1515738535,1
root,1,1,1,1,0,31,0,31,0,3,1515738538,1
admin,1,1,0,0,1,32,0,32,0,3,1515738541,1
chris,1,1,0,0,2,33,0,33,0,3,1515738544,1
david,1,1,0,0,3,34,0,34,0,4,1515738548,1
foobar,1,1,0,0,4,35,0,35,0,3,1515738551,1
buster,1,1,0,0,5,36,0,36,0,3,1515738554,1
harley,1,1,0,0,6,37,0,37,0,3,1515738557,1
jordan,1,1,0,0,7,38,0,38,0,3,1515738560,1
stupid,1,1,0,0,8,39,0,39,0,4,1515738564,1
apple,1,1,0,0,9,40,0,40,0,3,1515738567,1
fred,1,1,0,0,10,41,0,41,0,3,1515738570,1
admin,1,1,0,0,11,42,0,42,0,3,1515738573,1
summer,1,1,0,0,12,43,0,43,0,9,1515738582,1
sunshine,1,1,0,0,13,44,0,44,0,3,1515738585,1
andrew,1,1,0,0,14,45,0,45,0,8,1515738593,1
osamac,1,0,0,1,0,0,1,0,1,0,1544539167.0,0
osamac,1,0,0,1,0,0,2,0,0,62,1544539229,0
root,1,1,1,1,0,1,2,2,0,34,1544539263,0
root,1,1,1,1,0,2,2,3,0,39,1544539302,0
root,1,1,1,1,0,3,2,4,0,1,1544539303,0
osamac,1,0,0,1,0,3,3,0,0,9,1544539312,0
osamac,1,0,0,1,0,0,1,0,1,0,1544539357.0,0
osamac,1,0,0,1,0,0,2,0,0,80,1544539437,0
osamac,1,0,0,1,0,0,3,0,0,10,1544539447,0
osamac,1,0,0,1,0,3,4,0,0,161,1544539473,0
osamac,1,0,0,1,0,0,1,0,1,0,1544540522.0,0
osamac,1,0,0,1,0,0,2,0,0,354,1544540876,0
osamac,1,1,0,1,0,1,2,2,0,54,1544540930,0
osamac,1,1,0,1,0,2,2,3,0,9,1544540939,0
osamac,1,1,0,1,0,3,2,4,0,5,1544540944,0
root,1,1,1,1,0,4,2,6,0,623,1544541567,
root,1,1,1,1,0,5,2,7,0,16,1544541583,1
gta,1,1,0,0,1,6,2,8,0,1351,1544542934,
root,1,1,1,1,0,7,2,10,0,285,1544543219,
root,1,1,1,1,0,8,2,11,0,6,1544543225,1
osamac,1,0,0,1,0,3,5,0,0,5312,1544544785,0
gta,1,1,0,0,1,9,2,1,0,1722,1544544947,
gta,1,1,0,0,2,10,2,3,0,28,1544544975,1
gta,1,1,0,0,3,11,2,4,0,10,1544544985,1
gta,1,1,0,0,4,12,2,5,0,257,1544545242,
gta,1,1,0,0,5,13,2,7,0,14,1544545256,1
gta,1,1,0,0,6,14,2,8,0,6,1544545262,1
osamac,1,0,0,1,0,3,6,0,0,552,1544545337,0
osamac,1,0,0,1,0,3,7,0,0,142,1544545479,0
osamac,1,0,0,1,0,3,8,0,0,13,1544545492,0
osamac,1,0,0,1,0,3,9,0,0,120,1544545612,0
osamac,1,1,0,1,0,4,9,2,0,72,1544545684,0
osamac,1,1,0,1,0,5,9,4,0,279,1544545963,0
osamac,1,1,0,1,0,6,9,5,0,89,1544546052,0
osamac,1,1,0,1,0,7,9,7,0,21,1544546073,0
osamac,1,1,0,1,0,8,9,8,0,59,1544546132,0
root,1,1,1,1,0,9,9,10,0,662,1544546794,0
root,1,1,1,1,0,10,9,11,0,24,1544546818,0
osamac,1,0,0,1,0,10,10,0,0,311,1544547129,0
osamac,1,0,0,1,0,10,11,0,0,142,1544547271,0
osamac,1,0,0,1,0,10,12,0,0,33,1544547304,0
